scenario,temp,precip,humidity,beta_nn
T-vary,22.0,10.757142857142858,90.76324928331675,0.05549015
T-vary,22.0,10.757142857142858,91.16172185933814,0.05548657
T-vary,22.0,10.757142857142858,91.56019443535955,0.055482894
T-vary,22.0,10.757142857142858,91.95866701138095,0.055479173
T-vary,22.0,10.757142857142858,92.35713958740234,0.055475373
T-vary,26.0,10.757142857142858,29.0,0.05509006
T-vary,26.0,10.757142857142858,29.398472576021398,0.055098556
T-vary,26.0,10.757142857142858,29.796945152042795,0.05510699
T-vary,26.0,10.757142857142858,30.195417728064196,0.05511532
T-vary,26.0,10.757142857142858,30.593890304085594,0.05512359
T-vary,26.0,10.757142857142858,30.99236288010699,0.055131774
T-vary,26.0,10.757142857142858,31.39083545612839,0.05513988
T-vary,26.0,10.757142857142858,31.78930803214979,0.055147916
T-vary,26.0,10.757142857142858,32.18778060817119,0.055155884
T-vary,26.0,10.757142857142858,32.586253184192586,0.05516376
T-vary,26.0,10.757142857142858,32.98472576021398,0.055171553
T-vary,26.0,10.757142857142858,33.38319833623538,0.055179294
T-vary,26.0,10.757142857142858,33.78167091225678,0.055186927
T-vary,26.0,10.757142857142858,34.180143488278176,0.055194516
T-vary,26.0,10.757142857142858,34.57861606429958,0.05520201
T-vary,26.0,10.757142857142858,34.97708864032098,0.055209436
T-vary,26.0,10.757142857142858,35.375561216342376,0.05521677
T-vary,26.0,10.757142857142858,35.774033792363774,0.055224035
T-vary,26.0,10.757142857142858,36.17250636838517,0.05523123
T-vary,26.0,10.757142857142858,36.57097894440657,0.055238344
T-vary,26.0,10.757142857142858,36.96945152042797,0.055245373
T-vary,26.0,10.757142857142858,37.367924096449364,0.055252355
T-vary,26.0,10.757142857142858,37.76639667247076,0.05525922
T-vary,26.0,10.757142857142858,38.16486924849217,0.05526602
T-vary,26.0,10.757142857142858,38.56334182451356,0.055272765
T-vary,26.0,10.757142857142858,38.96181440053496,0.055279415
T-vary,26.0,10.757142857142858,39.36028697655636,0.055286
T-vary,26.0,10.757142857142858,39.75875955257776,0.05529249
T-vary,26.0,10.757142857142858,40.157232128599155,0.05529892
T-vary,26.0,10.757142857142858,40.55570470462055,0.055305272
T-vary,26.0,10.757142857142858,40.95417728064195,0.05531154
T-vary,26.0,10.757142857142858,41.35264985666335,0.05531773
T-vary,26.0,10.757142857142858,41.75112243268475,0.055323847
T-vary,26.0,10.757142857142858,42.14959500870614,0.05532989
T-vary,26.0,10.757142857142858,42.54806758472755,0.055335857
T-vary,26.0,10.757142857142858,42.946540160748945,0.05534174
