city_en,year,month,cases,tem,rhu,pre,index_norm_city,beta_formula,risk_monthly,pool_obs_lag
Huizhou,2012,3,0,18.5102624795292,78.25669256501766,69.4648036667741,0.4769237768903279,0.19365344868181333,0.0923579341531677,1.0
Huizhou,2012,4,0,23.807443914779174,86.66609544849128,437.0841764184163,0.4769237768903279,0.19480267731422574,0.09290602861304834,1.0
Huizhou,2012,5,0,26.748099758386925,84.63157274378383,220.90182913616096,0.4769237768903279,0.19619393198452637,0.09356955104502442,1.0
Huizhou,2012,6,0,27.82738682108605,86.94723889511262,307.2800523993864,0.4769237768903279,0.196803481759963,0.09386025982612832,1.0
Huizhou,2012,7,0,28.55307926564882,84.58276195510969,269.3674436679265,0.4769237768903279,0.19697116861240707,0.09394023367313079,1.0
Huizhou,2012,8,0,28.533973150465822,83.38534624426406,153.4628985036086,0.4769237768903279,0.19632596361861923,0.09363252007062499,1.0
Huizhou,2012,9,0,26.49628904921636,74.16167054195697,76.11062267572368,0.4769237768903279,0.19553732737506316,0.09325640069475563,1.0
Huizhou,2012,10,0,23.828867870571475,67.47722483907636,55.0345647329901,0.4769237768903279,0.19507496104807137,0.09303588719977979,1.0
Huizhou,2012,11,0,19.95920731372675,77.82179258813032,156.12042618321388,0.4769237768903279,0.1941597322234594,0.09259939281202695,1.0
Huizhou,2012,12,0,14.373291933466486,72.76048385541468,59.78146003326397,0.4769237768903279,0.1928965833044033,0.09199696705877579,1.0
Huizhou,2013,1,0,15.285698495026026,67.60592549054712,4.412451601184905,0.4769237768903279,0.19337835144134408,0.092226733738231,1.0
Huizhou,2013,2,0,17.926284336380903,75.98418054008617,23.905611221503975,0.4769237768903279,0.1935225463060234,0.09229550369770205,1.0
Huizhou,2013,3,0,20.21353589730908,77.49789561569584,254.31970377494684,0.4769237768903279,0.19408649176660242,0.09256446269672156,1.0
Huizhou,2013,4,0,21.0059724440389,83.7186217344606,166.862328719739,0.4769237768903279,0.1942782154067948,0.09265590025932126,1.0
Huizhou,2013,5,0,26.2057425991591,90.89111201736188,345.604962233085,0.4769237768903279,0.1961568259850089,0.09355185431158924,1.0
Huizhou,2013,6,0,27.84357102899984,86.09755158379417,335.1039681227856,0.4769237768903279,0.19685773407417353,0.09388613404472664,1.0
Huizhou,2013,7,0,27.458894726600874,88.66900595554574,279.8458491032216,0.4769237768903279,0.19657181121681438,0.09374977063569563,1.0
Huizhou,2013,8,0,27.97981494441195,87.98248304218714,343.84808785686323,0.4769237768903279,0.1969172865428551,0.09391453603301339,1.0
Huizhou,2013,9,0,26.70477123328218,79.02501704233501,235.1925747195812,0.4769237768903279,0.19630145088768325,0.0936208293664051,1.0
Huizhou,2013,10,0,23.9036850363715,60.48793249944512,3.9589989948463193,0.4769237768903279,0.19492521611575833,0.09296447028109087,1.0
Huizhou,2013,11,0,19.6950523955596,62.24503096490648,46.61993235509874,0.4769237768903279,0.19440336272977526,0.09271558599326482,1.0
Huizhou,2013,12,0,12.96586848830754,54.71918041320724,117.17416156501756,0.4769237768903279,0.19269435390767176,0.09190051905108833,1.0
Huizhou,2014,1,0,14.37262392815075,57.544951471600825,1.721061258850087,0.4769237768903279,0.19356228885952917,0.09231445786642328,1.0
Huizhou,2014,2,0,13.889169959151769,74.14959358315465,49.08546665084821,0.4769237768903279,0.19271934509644337,0.09191243794322626,1.0
Huizhou,2014,3,0,18.431691781634974,80.0916551983957,198.60574457908572,0.4769237768903279,0.19355086401223617,0.09230900908510192,1.0
Huizhou,2014,4,0,23.406900350469275,82.76259050130675,112.99871538637422,0.4769237768903279,0.19481151353846238,0.09291024281848473,1.0
Huizhou,2014,5,0,25.3744096019476,91.1283705721833,418.0034336685064,0.4769237768903279,0.19567425992709345,0.09332170708464914,1.0
Huizhou,2014,6,0,28.52579396950538,85.56531482811333,254.49379804597808,0.4769237768903279,0.19689160392017876,0.09390228737960614,1.0
Huizhou,2014,7,0,29.20305793827645,84.1548430880051,160.9095349456895,0.4769237768903279,0.19653102184437146,0.09373031721413318,1.0
Huizhou,2014,8,0,28.372947050152085,84.5404500612259,234.0509908205882,0.4769237768903279,0.1967626159798894,0.09384076996395004,1.0
Huizhou,2014,9,8,27.8063476771814,81.03261163966998,101.60511697689049,0.4769237768903279,0.19580538806303083,0.09338424521049699,1.0
Huizhou,2014,10,26,24.997083307802495,60.82720956562157,1.37848513366697,0.4769237768903279,0.195030834499182,0.7441187375953787,8.0
Huizhou,2014,11,3,19.85274400006898,70.0068436123739,47.56916525274255,0.4769237768903279,0.19424228847557048,2.630940950185147,28.4
Huizhou,2014,12,0,13.549877181407323,51.17476927725488,23.44389583467479,0.4769237768903279,0.1934433228072868,0.9963833773766342,10.8
Huizhou,2015,1,0,14.697402276300323,64.76398703922462,55.25038851371762,0.4769237768903279,0.19329940411602192,0.09218908188166297,1.0
Huizhou,2015,2,0,17.08869730489885,70.43592703468033,32.31383992551175,0.4769237768903279,0.19363489187547342,0.09234908397100106,1.0
Huizhou,2015,3,0,20.149306978161626,80.96147688246057,47.58781241172766,0.4769237768903279,0.19381148130419712,0.09243330366830686,1.0
Huizhou,2015,4,0,22.589415493958622,75.01224810705855,104.64356967395736,0.9307684727644944,0.19485271308475183,0.18136276217191266,1.0
Huizhou,2015,5,0,26.5100431515856,89.70281162906807,574.1628866646361,1.1076930041421356,0.19539728818034247,0.21644020914571013,1.0
Huizhou,2015,6,0,29.3543724115439,83.97647727550202,122.13048027473415,1.4461546410915282,0.1962288238373828,0.28377722430836305,1.0
Huizhou,2015,7,0,28.11636071601045,84.258378839417,347.7077843528311,0.9076914494410048,0.19697121675182852,0.17878908923162554,1.0
Huizhou,2015,8,1,28.24654360102864,84.72225430983084,308.9192524184025,0.9999995427349618,0.19697480033079998,0.19697471026111038,1.0
Huizhou,2015,9,0,27.45802685101617,81.43364168484668,100.1716443124769,1.3153841563608657,0.19570725235059244,0.25743021902688706,1.0
Huizhou,2015,10,2,24.524368999457675,73.6897172662062,50.35131773097966,1.0999992912391907,0.19501487565260264,0.2145162249989618,1.0
Huizhou,2015,11,0,22.02791834466464,70.7575035187202,33.120605963666506,0.7153856653354921,0.19457111159154125,0.278386768241962,2.0
Huizhou,2015,12,0,15.3976711537676,73.26660919553832,119.54932436553884,0.7153856653354921,0.19301950400620663,0.1380833862962068,1.0
Huizhou,2016,1,0,12.744662104530486,77.63451761079193,267.270015904045,0.7153856653354921,0.19100029848314962,0.13663887560964558,1.0
Huizhou,2016,2,0,14.514453713200847,69.0265594944236,34.49734374734876,0.7153856653354921,0.19313832843821094,0.13816839159155433,1.0
Huizhou,2016,3,0,17.05313160972735,81.60191935067185,179.30972245178148,0.7153856653354921,0.19306613301646916,0.1381167440217374,1.0
Huizhou,2016,4,0,23.906475236192524,88.58088066431719,362.4196359529862,0.7153856653354921,0.1951574509738288,0.13961284291009118,1.0
Huizhou,2016,5,0,26.6709491412802,85.05883881992779,342.0788209684184,0.7153856653354921,0.1963892287464841,0.14049403907152766,1.0
Huizhou,2016,6,0,28.362192279715376,87.99073495999785,351.1548217714184,0.7153856653354921,0.1970813356222359,0.14098916240932063,1.0
