week,observed_cases,predicted_cases,Lambda_v,R0,N_v,I_v,I_h
146,1.3643467083402239,5.482230760243565e-18,1699.089,0.03182609245612786,33525.85445788708,1.0714532889300734e-18,5.4767540062373284e-18
147,0.8843185466880719,3.942795309853541e-18,1719.2579,0.03220388239080256,33723.534686969295,7.708397652314001e-19,3.938856453400141e-18
148,0.46829413992287566,2.8360371702411894e-18,1729.4724,0.03239521251453625,33950.85680808702,5.546307035308475e-19,2.833203966274915e-18
149,0.52163060232867,2.0402113656930296e-18,1719.078,0.03220051204288875,34106.93939867416,3.991126020783322e-19,2.0381731925005295e-18
150,0.5749670647344644,1.4678828748506588e-18,1725.9294,0.032328848214773505,34209.464542068374,2.872309041818698e-19,1.4664164583922665e-18
151,0.6283035271402586,1.0562259239207567e-18,1718.1276,0.03218270910607947,34276.37101508722,2.0672864748204357e-19,1.0551707531675893e-18
152,0.681639989546053,7.600905839355235e-19,1708.105,0.031994973410378685,34270.50493447711,1.4879671830279528e-19,7.593312526828408e-19
153,0.6507048413506928,5.470270756436129e-19,1692.1061,0.03169529368946483,34188.47754027255,1.0710129985827343e-19,5.464805950485644e-19
154,0.5973683789448981,3.937101197370442e-19,1694.6416,0.03174278724205482,34094.121918879726,7.708834550937093e-20,3.9331680293411015e-19
155,0.5440319165391034,2.8337150679792735e-19,1696.248,0.03177287800090534,34039.700462635636,5.54838780878783e-20,2.830884183795478e-19
156,0.49069545413330884,2.039560853014166e-19,1695.7589,0.03176371586787236,34004.28725474579,3.993281276531945e-20,2.0375233296844817e-19
157,0.609102400674175,1.4679497598644636e-19,1695.679,0.03176221818952532,33977.725200684275,2.8739630708036636e-20,1.4664832765878757e-19
158,0.9291211751089409,1.0565177551856647e-19,1692.4539,0.03170180801864152,33948.704668079874,2.0683468030488387e-20,1.055462292892772e-19
159,1.2491399495437068,7.603839569809355e-20,1687.3357,0.031605938312176104,33903.28894170379,1.4885287568039668e-20,7.596243326482873e-20
160,1.5691587239784726,5.472424790327988e-20,1681.9719,0.03150546810367367,33840.29106263248,1.0712257497344795e-20,5.466957832495493e-20
161,1.9585148995407695,3.9383741855106574e-20,1673.5759,0.03134820044457495,33754.73627867017,7.708881693223482e-21,3.934439745764893e-20
162,2.8118982980334843,2.8342815289559786e-20,1667.9227,0.031242308869109406,33653.440708434544,5.5473280851207795e-21,2.831450078877102e-20
163,3.665281696526199,2.039647898591206e-20,1652.9795,0.030962403075440185,33519.643470346935,3.991663622846684e-21,2.037610288302903e-20
164,4.518665095018914,1.467743193666552e-20,1620.2179,0.030348736803967515,33281.38987248195,2.872063936953618e-21,1.4662769167498023e-20
165,5.372048493511629,1.0561414297248673e-20,1599.417,0.029959109494021603,32957.37651733342,2.066271029754015e-21,1.055086343381486e-20
166,5.841409362682614,7.599089860051965e-21,1594.674,0.029870266299862246,32656.37906147437,1.4863310001773055e-21,7.591498361690276e-21
167,6.214764599523174,5.46709110754872e-21,1601.3816,0.02999590893725415,32452.03575484055,1.0689912041356237e-21,5.46162947807065e-21
168,6.5881198363637345,3.93275387246813e-21,1623.5757,0.030411632434947863,32396.075661176594,7.687312088423448e-22,3.92882504742071e-21
169,6.961475073204294,2.8286635706888923e-21,1632.2435,0.030573992200426527,32445.436954562356,5.527662730265258e-22,2.8258377329559367e-21
170,8.237283253950892,2.034314491738374e-21,1642.7194,0.030770217788802994,32537.084488612054,3.97466391680974e-22,2.0322822095288453e-21
171,10.530751137400049,1.4629249678993617e-21,1635.9923,0.03064421159285051,32609.773926622176,2.858039357084545e-22,1.461463504394967e-21
172,12.824219020849204,1.0519845095048242e-21,1616.1915,0.030273317838167692,32580.404683284632,2.0551763167772138e-22,1.0509335759288953e-21
173,15.11768690429836,7.564699606976585e-22,1590.1661,0.029785829252534576,32423.301838433075,1.4778520573792383e-22,7.557142464512073e-22
174,19.14352308668756,5.439661660605838e-22,1566.7158,0.02934657505580357,32166.923315124583,1.0626521360580352e-22,5.4342274331726655e-22
175,33.81105024828109,3.9114972258542326e-22,1553.3933,0.0290970275452087,31879.396889964188,7.640225618451723e-23,3.9075896362180155e-22
176,48.478577409874624,2.8124945272689047e-22,1558.7467,0.02919730339850579,31656.478376282328,5.492398968289292e-23,2.8096848424264784e-22
177,63.14610457146816,2.022106130890167e-22,1559.9387,0.02921963138180179,31517.999154591496,3.9478532483730323e-23,2.020086044845322e-22
178,77.8136317330617,1.4536887573348972e-22,1558.6509,0.029195508471021165,31419.706230057218,2.8373624800801084e-23,1.4522365208140832e-22
179,117.84104667473825,1.0449441884009421e-22,1553.9917,0.029108236124227336,31332.308438031487,2.0390815300102048e-23,1.0439002881128294e-22
180,163.81707726853296,7.510568296654588e-23,1534.2651,0.028738732580895668,31196.10311710843,1.4652990554844248e-23,7.503065231423165e-23
181,209.7931078623277,5.397783134182013e-23,1512.1819,0.028325085254101368,30976.227138181577,1.0528964393809779e-23,5.392390743438575e-23
182,255.7691384561224,3.8790262722530227e-23,1512.4985,0.028331016517662025,30760.877845247327,7.564858610128376e-24,3.875151121131891e-23
183,280.9823509645899,2.787352641168969e-23,1512.9387,0.02833926175143216,30611.3509797768,5.434595510749697e-24,2.7845680730958734e-23
184,283.70251054728544,2.0027167989648587e-23,1543.0692,0.02890364411589387,30601.387860486586,3.903843249966257e-24,2.0007160828819766e-23
185,286.42267012998093,1.4388192277392242e-23,1581.0133,0.02961438509610507,30796.75398226393,2.8041400840279247e-24,1.437381845893331e-23
186,289.1428297126765,1.0336212185163147e-23,1609.3674,0.030145493849412307,31128.566318068817,2.0143125215553243e-24,1.0325886298864284e-23
187,283.87852087322426,7.425143729129837e-24,1622.1736,0.030385369330376655,31481.24569143811,1.4471338938336168e-24,7.417726003126712e-24
188,233.36889097493705,5.334112218693805e-24,1645.1881,0.030816460608483313,31837.314937039984,1.0398355668441134e-24,5.328783435258547e-24
189,182.85926107664983,3.832281784744545e-24,1680.2883,0.03147393225670814,32261.955533893335,7.4731737468075e-25,3.8284533314131324e-24
190,132.3496311783626,2.7536611852044344e-24,1698.315,0.03181159355780938,32715.151975219862,5.372084083825542e-25,2.7509102749295053e-24
191,81.8400012800754,1.9789641421927027e-24,1690.6866,0.03166870589737411,33060.78341208676,3.8626510015505715e-25,1.976987155037665e-24
192,60.458480230840266,1.422498497991338e-24,1688.0142,0.031618646856073615,33274.79124078175,2.7779348793097684e-25,1.4210774205707673e-24
193,45.47093429481196,1.022717155170091e-24,1681.0695,0.03148856377387261,33396.467586749764,1.9981591459069079e-25,1.0216954597103806e-24
194,30.483388358783657,7.3543229353408145e-25,1664.9172,0.03118601216898336,33412.40582988091,1.4374268282860047e-25,7.346975959381434e-25
195,15.495842422755352,5.289315916856761e-25,1655.7881,0.031015011599728397,33350.193880346014,1.034103629191382e-25,5.28403188497179e-25
196,7.852193995381063,3.8045864493211637e-25,1647.3472,0.030856902496917145,33254.579079782896,7.439495290876769e-26,3.8007856636575065e-25
197,7.852193995381063,2.736822374643826e-25,1646.0627,0.03083284360902769,33159.71410941155,5.351922414266128e-26,2.7340882863574687e-25
198,7.852193995381063,1.9687883090200635e-25,1649.1755,0.03089115017063015,33099.02218804205,3.849968599926176e-26,1.966821487532531e-25
199,7.852193995381063,1.416287251485174e-25,1652.7219,0.03095757849328406,33075.99307610739,2.7694123451402884e-26,1.4148723791060678e-25
200,7.672983481697598,1.0188169298941349e-25,1656.0996,0.031020846828952297,33080.18403847551,1.9920819633170002e-26,1.0177991307633716e-25
201,6.552917771175917,7.328774896283187e-26,1658.385,0.031063655277827642,33099.67264470414,1.43292176749353e-26,7.321453442840347e-26
202,5.432852060654236,5.271796026602699e-26,1660.2201,0.031098028710791162,33125.49392535804,1.0307149188832294e-26,5.266529497105594e-26
203,4.312786350132555,3.7921110505746253e-26,1665.1829,0.031190987662240103,33164.319015797024,7.414106581736307e-27,3.788322727846779e-26
204,3.192720639610874,2.7277358181628447e-26,1654.6593,0.030993868039919065,33172.588150090436,5.333175923981231e-27,2.725010807355489e-26
205,3.267925051603023,1.9621192510564403e-26,1632.6066,0.030580792346081652,33080.235024608744,3.836329768974129e-27,1.9601590919644761e-26
206,3.587943826037791,1.4114009492953466e-26,1595.7931,0.029891229223657202,32838.77416632075,2.7595167189697687e-27,1.4099909583370095e-26
207,3.907962600472559,1.0152458017487173e-26,1548.4822,0.029005035796722808,32418.363036454008,1.984765617166022e-27,1.0142315701785389e-26
208,4.227981374907327,7.302526699334274e-27,1517.7045,0.02842853024051144,31894.356809810684,1.4272773253806661e-27,7.295231467866409e-27
209,4.921355386182654,5.252107349737288e-27,1490.9156,0.027926741684828844,31355.771255177584,1.0261256579262272e-27,5.24686048924804e-27
