week,temperature,observed,predicted,M,R0,a_T,b_T,c_T,b_vh,I_h,E_h
128,28.578301870732894,7.385499949330355,12.767332820077067,7000000.0,3992.9759159848727,0.527883765263157,0.7097601386237911,0.9752606055249652,154.7041153018553,10.94342813149463,9.119523442912516
129,28.490572085446868,8.238883347823066,12.767332820077067,7000000.0,3978.237262987388,0.5266573103954286,0.7064314139462983,0.9718168058803954,153.62081901529007,10.94342813149463,9.119523442912516
130,28.468620416898478,9.844310866237441,12.767332820077069,7000000.0,3974.2019414443903,0.5263395580178384,0.7055855062417514,0.9709438635668953,153.34429333845787,10.943428131494631,9.119523442912516
131,28.578858509216985,18.218135463947206,12.767332820077073,7000000.0,3993.0622922489824,0.5278913230770286,0.7097809913125498,0.9752822248885553,154.7108754885752,10.943428131494633,9.119523442912516
132,28.78507143174372,26.59196006165697,12.767332820077073,7000000.0,4018.7618628784653,0.5304919690641727,0.7172677972273356,0.9830862417319357,157.1129931844838,10.943428131494635,9.119523442912516
133,29.03207018001318,34.96578465936673,12.767332820077074,7000000.0,4032.6219023572517,0.533063145609919,0.7255848218312057,0.991876713967351,159.7051065801084,10.943428131494636,9.119523442912516
134,29.264665749559825,43.339609257076496,12.767332820077078,7000000.0,4028.314014187913,0.5349094101577273,0.7327293080905494,0.9995705052650895,161.8362315137917,10.943428131494638,9.119523442912516
135,29.42921956191044,53.027644288465005,12.767332820077078,7000000.0,4014.8808045507303,0.5358592471849832,0.7373581128532054,1.0046547383327906,163.1477724391873,10.943428131494638,9.119523442912516
136,29.484723430826737,63.10823568316013,12.76733282007708,7000000.0,4008.386970932638,0.5361103151028394,0.7388366896914845,1.0063002958294471,163.55151563253773,10.94342813149464,9.119523442912516
137,29.39632355635308,73.18882707785525,12.767332820077081,7000000.0,4018.260971909065,0.5356937483376781,0.7364618729205039,1.003662777720419,162.8991439389391,10.943428131494642,9.119523442912516
138,29.129207458729795,83.26941847255037,12.767332820077083,7000000.0,4032.895893789177,0.5339040533562638,0.7286520347328208,0.9951604799733731,160.6332165546737,10.943428131494644,9.119523442912516
139,28.649837663630986,97.66812986361859,12.767332820077085,7000000.0,4003.3318934677545,0.528831597250257,0.7124119498175042,0.9780148144381575,155.56093594511637,10.943428131494645,9.119523442912516
140,27.964269878239534,117.56263034097987,12.767332820077087,7000000.0,3844.768466023409,0.517900474388892,0.6847904276082939,0.9497039227463672,146.4387272379264,10.943428131494647,9.119523442912516
141,27.12486904165738,137.45713081834114,12.767332820077087,7000000.0,3491.193106042535,0.4995299424232255,0.6450371103396986,0.9098123896544714,133.04488503105551,10.943428131494647,9.119523442912516
142,26.186628654151182,157.35163129570242,12.76733282007709,7000000.0,2945.3544050798355,0.47370089609958466,0.5943879494594551,0.859599436975072,116.25888625688752,10.943428131494649,9.119523442912516
143,25.204526555173228,171.83088074500412,12.767332820077092,7000000.0,2288.8087858924546,0.44193131284059617,0.535971167452715,0.801987777488797,97.80209497627524,10.94342813149465,9.119523442912516
144,24.217511405307917,142.49582642181704,12.767332820077094,7000000.0,1634.6987114257486,0.40626008230138533,0.473206327138563,0.7401223654974171,79.37918778950997,10.943428131494652,9.119523442912516
145,23.21827430234595,113.16077209862999,12.767332820077097,7000000.0,1058.4838896651106,0.3673279902281507,0.40688423330456885,0.674580577880419,61.71302571328599,10.943428131494654,9.119523442912516
146,22.19121153666877,83.82571777544293,12.767332820077097,7000000.0,606.0899889516357,0.3252768727869891,0.33707331369210985,0.6052422990791664,45.271982430502135,10.943428131494656,9.119523442912516
147,21.120719398657805,54.49066345225586,12.767332820077097,7000000.0,294.8172459060319,0.28014705494161585,0.2637944031097396,0.5319224522904997,30.514312817832025,10.943428131494656,9.119523442912516
148,19.998090277310897,39.84127068788037,12.7673328200771,7000000.0,114.13472564680683,0.23229764167807182,0.18766614912252008,0.4549937315586791,18.00042251084441,10.943428131494658,9.119523442912516
149,18.86898796118084,29.333987593938883,12.767332820077103,7000000.0,32.65416698405402,0.18449649505032797,0.1130822133510154,0.37866373130517866,8.61458531271284,10.94342813149466,9.119523442912516
150,17.80484485479532,18.8267044999974,12.767332820077105,7000000.0,5.582049015073491,0.14045855629507503,0.04564838167929619,0.30859265497777666,2.647436436043828,10.943428131494661,9.119523442912516
151,16.877248097375123,8.319421406055923,12.767332820077106,7000000.0,0.0483379941673636,0.10336202830717224,0.001,0.24962079855992256,0.042678876557475265,10.943428131494663,9.119523442912516
152,16.155697062470658,2.324403031644528,12.767332820077108,7000000.0,0.019585536008653887,0.07559158887262696,0.001,0.20543719099319183,0.031212275369545985,10.943428131494665,9.119523442912516
153,15.648195112329574,1.844374869992376,12.767332820077108,7000000.0,0.008875492000573174,0.05672880264212265,0.001,0.1753773994925341,0.023423704090068914,10.943428131494665,9.119523442912516
154,15.292675152880237,1.3643467083402239,12.76733282007711,7000000.0,0.004497466319901887,0.043878998484686814,0.001,0.15486554123852506,0.018117933543527868,10.943428131494667,9.119523442912516
155,15.023258270973837,0.8843185466880719,12.767332820077112,7000000.0,0.0024083035974568267,0.03435434944761327,0.001,0.13963850163532884,0.014185141906559473,10.943428131494668,9.119523442912516
156,14.77412062849826,0.46829413992287566,12.767332820077115,7000000.0,0.0011808603699659723,0.025717810498527775,0.001,0.12581108119011544,0.010619056897116308,10.94342813149467,9.119523442912516
157,14.52399613183795,0.52163060232867,12.767332820077117,7000000.0,0.0004583226470937392,0.017218955806386996,0.001,0.11218241545909499,0.007109822643238699,10.943428131494672,9.119523442912516
158,14.37651867150435,0.5749670647344644,12.767332820077119,7000000.0,0.00021332508303902636,0.012291113911511288,0.001,0.10426910581037141,0.005075083587024167,10.943428131494674,9.119523442912516
