week,temperature,observed,predicted,M,R0,phi,mu_m,a,b,c
71,28.8366666666667,2.5,21510.484120195462,1249889152.585752,871.6163570971578,6.589266444444444,0.061505340000000186,0.5310791230079492,0.7308395512253086,0.9710307348249981
72,29.4899595141701,9.5,18353.74778940488,1290367471.1640744,894.7616616021029,6.545801222639284,0.066075760891672,0.5361321587813088,0.7518254772793846,0.9894233598106319
73,29.4899595141701,9.5,15655.640177491625,1325157561.0772357,918.8856722840404,6.545801222639284,0.066075760891672,0.5361321587813088,0.7518254772793846,0.9894233598106319
74,29.4899595141701,9.5,13350.464220356302,1356992223.403509,940.960341706621,6.545801222639284,0.066075760891672,0.5361321587813088,0.7518254772793846,0.9894233598106319
75,29.4899595141701,9.5,11381.754624681193,1386734175.531641,961.5838920518961,6.545801222639284,0.066075760891672,0.5361321587813088,0.7518254772793846,0.9894233598106319
76,28.3416129032258,14.0,9701.015414397245,1414648348.8296726,969.4002657693412,6.61083375442248,0.058383051883454606,0.5244173874222567,0.7116361911558005,0.953972861166215
77,28.3416129032258,14.0,8266.623229272893,1447041438.303352,991.5979162107766,6.61083375442248,0.058383051883454606,0.5244173874222567,0.7116361911558005,0.953972861166215
78,28.3416129032258,14.0,7042.876007669649,1479109829.448084,1013.573064256732,6.61083375442248,0.058383051883454606,0.5244173874222567,0.7116361911558005,0.953972861166215
79,28.3416129032258,14.0,5999.168914310197,1509763457.5360916,1034.5787334323209,6.61083375442248,0.058383051883454606,0.5244173874222567,0.7116361911558005,0.953972861166215
80,27.7438493723849,56.0,5109.281372508907,1538812168.6570532,1007.7900753382769,6.623810749671751,0.05500492437177196,0.5135683529100014,0.6851811707215711,0.9302311764124506
81,27.7438493723849,56.0,4350.760944289846,1568551995.632078,1027.2671129379107,6.623810749671751,0.05500492437177196,0.5135683529100014,0.6851811707215711,0.9302311764124506
82,27.7438493723849,56.0,3704.391477016697,1597450393.470302,1046.193086573768,6.623810749671751,0.05500492437177196,0.5135683529100014,0.6851811707215711,0.9302311764124506
83,27.7438493723849,56.0,3153.734442106013,1625029702.4104872,1064.2551700435542,6.623810749671751,0.05500492437177196,0.5135683529100014,0.6851811707215711,0.9302311764124506
84,26.0737903225807,28.0,2684.733772969129,1651222056.4751782,828.205994051087,6.584318519120714,0.04783939603928217,0.4702744072282365,0.5963134670606487,0.8490789036043945
85,26.0737903225807,28.0,2285.375699738182,1678219854.902504,841.7473214552431,6.584318519120714,0.04783939603928217,0.4702744072282365,0.5963134670606487,0.8490789036043945
86,26.0737903225807,28.0,1945.396167066644,1705593883.2133954,855.4773550624736,6.584318519120714,0.04783939603928217,0.4702744072282365,0.5963134670606487,0.8490789036043945
87,26.0737903225807,28.0,1656.0293741331493,1732203652.5357857,868.8240581098912,6.584318519120714,0.04783939603928217,0.4702744072282365,0.5963134670606487,0.8490789036043945
88,20.6630833333333,12.25,1409.7918057921368,1757719099.836151,64.5534150204664,5.690131409861102,0.04761147437083346,0.26065631842654796,0.2371378848507577,0.5064664786617787
89,20.6630833333333,12.25,1200.2968759496298,1742544063.0853362,63.99610159910262,5.690131409861102,0.04761147437083346,0.26065631842654796,0.2371378848507577,0.5064664786617787
90,20.6630833333333,12.25,1022.0959419872556,1729583728.2777064,63.520124594745596,5.690131409861102,0.04761147437083346,0.26065631842654796,0.2371378848507577,0.5064664786617787
91,20.6630833333333,12.25,870.5420189870788,1718127657.4424016,63.09939269554497,5.690131409861102,0.04761147437083346,0.26065631842654796,0.2371378848507577,0.5064664786617787
92,18.0618623481781,1.25,741.6730212567963,1707601012.6582022,3.01236801347203,4.843431153305238,0.06000637714173335,0.15096996801102525,0.06498444482622034,0.33353028368346055
93,18.0618623481781,1.25,632.1117829688998,1656606856.8013706,2.9224095496163547,4.843431153305238,0.06000637714173335,0.15096996801102525,0.06498444482622034,0.33353028368346055
94,18.0618623481781,1.25,538.9804918964619,1608206239.7462544,2.8370263309555885,4.843431153305238,0.06000637714173335,0.15096996801102525,0.06498444482622034,0.33353028368346055
95,18.0618623481781,1.25,459.8274928647307,1562320622.60077,2.7560798075330544,4.843431153305238,0.06000637714173335,0.15096996801102525,0.06498444482622034,0.33353028368346055
96,17.0439810856329,2.25,392.5646984936365,1518915575.6845226,0.04115993420687003,4.438433369247951,0.06706690435072599,0.10992286129180828,0.002610961948497224,0.26883108594596855
97,17.0439810856329,2.25,335.414097522581,1460142866.7034628,0.039567297411549955,4.438433369247951,0.06706690435072599,0.10992286129180828,0.002610961948497224,0.26883108594596855
98,17.0439810856329,2.25,286.86205236954805,1404747754.324881,0.03806618752935189,4.438433369247951,0.06706690435072599,0.10992286129180828,0.002610961948497224,0.26883108594596855
99,17.0439810856329,2.25,245.62026899043727,1352584064.6782784,0.03665264350609428,4.438433369247951,0.06706690435072599,0.10992286129180828,0.002610961948497224,0.26883108594596855
100,15.8711607142857,1.5,210.59247614263322,1303557464.7490845,0.0,3.920401937340557,0.07674374545121182,0.06494326123411892,0.0,0.1976904777958359
101,15.8711607142857,1.5,180.84598985313792,1237627849.9020395,0.0,3.920401937340557,0.07674374545121182,0.06494326123411892,0.0,0.1976904777958359
102,15.8711607142857,1.5,155.58745250096695,1176024334.657704,0.0,3.920401937340557,0.07674374545121182,0.06494326123411892,0.0,0.1976904777958359
103,15.8711607142857,1.5,134.14214441341554,1118467804.718131,0.0,3.920401937340557,0.07674374545121182,0.06494326123411892,0.0,0.1976904777958359
104,18.5101201514954,1.5,115.93634212859882,1064782965.0892061,3.8813679320164445,5.00864120618902,0.0572913645718065,0.1695024967110457,0.0935199230407249,0.3627131711816777
105,18.5101201514954,1.5,100.48228261725066,1052353809.4859527,3.8360609280896223,5.00864120618902,0.0572913645718065,0.1695024967110457,0.0935199230407249,0.3627131711816777
106,18.5101201514954,1.5,87.3653504162211,1042079796.9510753,3.798609894317057,5.00864120618902,0.0572913645718065,0.1695024967110457,0.0935199230407249,0.3627131711816777
107,18.5101201514954,1.5,76.23316219674516,1033513369.7014582,3.7673833842124083,5.00864120618902,0.0572913645718065,0.1695024967110457,0.0935199230407249,0.3627131711816777
108,22.4721976987448,2.5,66.7862703063783,1026071580.2469796,129.5396725421148,6.119424080389862,0.04377826608202823,0.3369372898890363,0.36183530276360515,0.6278868389219928
109,22.4721976987448,2.5,58.77024666806594,1064013788.9215162,134.3298074428797,6.119424080389862,0.04377826608202823,0.3369372898890363,0.36183530276360515,0.6278868389219928
110,22.4721976987448,2.5,51.96894389397849,1100897023.2588916,138.98624875782932,6.119424080389862,0.04377826608202823,0.3369372898890363,0.36183530276360515,0.6278868389219928
111,22.4721976987448,2.5,46.198759633585624,1136452209.7776625,143.47502644886214,6.119424080389862,0.04377826608202823,0.3369372898890363,0.36183530276360515,0.6278868389219928
112,25.6191935483871,2.75,41.303755892759646,1170625823.3920474,526.0844149266908,6.554251341831426,0.0464684274869927,0.4558600490633684,0.5691642606117892,0.8239510383630569
113,25.6191935483871,2.75,37.15150666763623,1223367167.856826,549.7866080534417,6.554251341831426,0.0464684274869927,0.4558600490633684,0.5691642606117892,0.8239510383630569
114,25.6191935483871,2.75,33.62956587712837,1271726545.5114846,571.519525943422,6.554251341831426,0.0464684274869927,0.4558600490633684,0.5691642606117892,0.8239510383630569
115,25.6191935483871,2.75,30.64246350276699,1317354431.4781673,592.0248994056003,6.554251341831426,0.0464684274869927,0.4558600490633684,0.5691642606117892,0.8239510383630569
116,28.444319735007,5.75,28.10915138520197,1360876410.032987,937.3529448785196,6.607165204761529,0.05900664253218918,0.5259827863019209,0.7158339753561083,0.95771607559667
117,28.444319735007,5.75,25.960831717511173,1401366863.0510964,965.2422117481467,6.607165204761529,0.05900664253218918,0.5259827863019209,0.7158339753561083,0.95771607559667
118,28.444319735007,5.75,24.13911120019372,1436537629.5455966,989.4673517419064,6.607165204761529,0.05900664253218918,0.5259827863019209,0.7158339753561083,0.95771607559667
119,28.444319735007,5.75,22.59443229091068,1469108156.9894624,1011.9014828582025,6.607165204761529,0.05900664253218918,0.5259827863019209,0.7158339753561083,0.95771607559667
120,28.465,9.75,21.284739971624507,1499788575.2377274,1034.0044090695267,6.606375500000002,0.059133734999999854,0.5262867381699924,0.7166661012056623,0.9584572038634747
121,28.465,9.75,20.174349215563286,1528678150.032534,1053.9218482387366,6.606375500000002,0.059133734999999854,0.5262867381699924,0.7166661012056623,0.9584572038634747
122,28.465,9.75,19.232982654408314,1555955185.4756305,1072.7275488422613,6.606375500000002,0.059133734999999854,0.5262867381699924,0.7166661012056623,0.9584572038634747
123,28.465,9.75,18.434953200517533,1581727552.4557288,1090.4958806788707,6.606375500000002,0.059133734999999854,0.5262867381699924,0.7166661012056623,0.9584572038634747
124,29.3103225806452,49.0,17.758469869541493,1606080730.9737203,1119.175719903275,6.559454643080123,0.06476797361082232,0.5352032794354828,0.7465907531393999,0.984867622119249
125,29.3103225806452,49.0,17.185048207956804,1623623003.0233507,1131.3998158476809,6.559454643080123,0.06476797361082232,0.5352032794354828,0.7465907531393999,0.984867622119249
126,29.3103225806452,49.0,16.699009730563514,1639032794.5166626,1142.137921445667,6.559454643080123,0.06476797361082232,0.5352032794354828,0.7465907531393999,0.984867622119249
127,29.3103225806452,49.0,16.28705691970616,1653297630.0762703,1152.0781799263516,6.559454643080123,0.06476797361082232,0.5352032794354828,0.7465907531393999,0.984867622119249
128,28.8885833333333,96.25,15.93791233890543,1666668193.6748512,1163.1490494003494,6.586436726527783,0.061849814870833075,0.5316435784417594,0.7326969790886408,0.9726707623371202
129,28.8885833333333,96.25,15.642012455804451,1682372041.1974518,1174.1085885498705,6.586436726527783,0.061849814870833075,0.5316435784417594,0.7326969790886408,0.9726707623371202
130,28.8885833333333,96.25,15.391247669181462,1697702388.0352273,1184.8074657583084,6.586436726527783,0.061849814870833075,0.5316435784417594,0.7326969790886408,0.9726707623371202
131,28.8885833333333,96.25,15.178741647276627,1712257685.3694296,1194.9654446063284,6.586436726527783,0.061849814870833075,0.5316435784417594,0.7326969790886408,0.9726707623371202
132,25.3130220713073,189.5,14.998664150124696,1725987990.67433,713.5471875862993,6.52934255078822,0.04568483383288985,0.44564269472685775,0.5503264348678601,0.8064358049301994
133,25.3130220713073,189.5,14.846072168009599,1746750283.7570066,722.1306052676691,6.52934255078822,0.04568483383288985,0.44564269472685775,0.5503264348678601,0.8064358049301994
134,25.3130220713073,189.5,14.716775106392113,1769855117.3400621,731.6824614288454,6.52934255078822,0.04568483383288985,0.44564269472685775,0.5503264348678601,0.8064358049301994
135,25.3130220713073,189.5,14.60722047143922,1793011647.2213862,741.2556895511462,6.52934255078822,0.04568483383288985,0.44564269472685775,0.5503264348678601,0.8064358049301994
136,20.8778333333334,52.0,14.514396853305193,1815426306.552105,79.14363755518443,5.747938172777797,0.04695102148333302,0.2698098152523386,0.2518671702709924,0.5209573349420148
137,20.8778333333334,52.0,14.43575160222669,1801150330.9766517,78.52127539561201,5.747938172777797,0.04695102148333302,0.2698098152523386,0.2518671702709924,0.5209573349420148
138,20.8778333333334,52.0,14.369121087250704,1788752604.910682,77.9807956555464,5.747938172777797,0.04695102148333302,0.2698098152523386,0.2518671702709924,0.5209573349420148
139,20.8778333333334,52.0,14.312671486272738,1777637031.324106,77.49621144302347,5.747938172777797,0.04695102148333302,0.2698098152523386,0.2518671702709924,0.5209573349420148
140,16.4512096774194,2.75,14.264848553716194,1767336442.2564166,0.0,4.183484648152987,0.07175150894250748,0.08683725778822236,0.0,0.23236304579237932
141,16.4512096774194,2.75,14.224335070634478,1681201146.9607718,0.0,4.183484648152987,0.07175150894250748,0.08683725778822236,0.0,0.23236304579237932
142,16.4512096774194,2.75,14.190014754707427,1600225008.5109947,0.0,4.183484648152987,0.07175150894250748,0.08683725778822236,0.0,0.23236304579237932
