week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
94,22.21828136490088,3.366510600761908,15.550245614409398,104.98948663942211,1104910825813.4695,570594734005.0162,1176396418932.982,29028.38484374718,62694.801820813984,13997722.37507352,72.15627682638902,104.98948663942211,2100.4791630137224,0.46987826503712604
95,20.95551473150448,3.3666148008035135,12.190048482844345,90.79321807181344,846985697443.337,462588462237.2374,919091539694.2234,18399.528402732474,51409.72476144495,13997658.122780215,51.5902318159578,90.79321807181344,2199.4937698972335,0.2468135667559139
96,19.936077533299237,3.3668664530184174,9.579762012704757,66.36654111969241,581239382278.2582,344665355138.9337,603023144835.8331,8670.970341680399,33586.61175246674,13997625.773056801,29.30077436497123,66.36654111969241,2278.5596277139275,0.12340548929683164
97,19.17621648887662,3.3671513560788315,7.232957666849799,41.44449573002316,371959170561.22485,242031173086.486,338762793119.3079,3213.4638082110773,17631.58286053193,13997612.593335964,13.811912363927988,41.44449573002316,2332.1502559422634,0.062386031719724074
98,18.626498094301244,3.3672761474147417,4.886153320994842,22.75712149593953,231340320732.53928,163897853715.9124,170785649585.52216,1023.181924630058,7731.287077281267,13997607.931394082,5.687840016810739,22.75712149593953,2363.623644405687,0.03272468869782902
99,18.236890735519978,3.36704674358251,2.539348975139884,11.323500414343458,144069546195.4903,108786281548.81834,81655663962.89568,307.0567911396309,2959.0848599650467,13997606.42691791,2.1275362339441575,11.323500414343458,2380.1220454411364,0.01809372611934088
100,17.95742469956772,3.3662796107923008,1.2422062094309525,5.2338813870768215,91973183139.28703,71668176507.82387,39076460916.568855,95.04735761638445,1028.710456068539,13997605.967840329,0.7434145536096314,5.2338813870768215,2388.054863730501,0.010612790364178235
101,17.740400369535504,3.3651781022745233,1.4555520590541304,2.2898680466923835,61017179393.16747,47346570415.084724,19506668500.560535,32.632500354958815,335.4122562721819,13997605.832587877,0.24730309139896856,2.2898680466923835,2391.6302409846203,0.006578976968086846
102,17.5409905443141,3.364435110187536,1.6688979086773084,0.9614345455275841,42124641241.208405,31618817407.96077,10357354525.034275,12.843875782694946,105.11676213379182,13997605.79377011,0.0792625369957638,0.9614345455275841,2393.165532807242,0.004242350356535249
103,17.31455248302488,3.3647749638039035,1.8822437583004865,0.3912777745123452,29945200301.787407,21442683869.151558,5828200436.29149,5.699970896699085,32.28924318193684,13997605.782909436,0.024647876995041472,0.3912777745123452,2393.8011649123414,0.0027633437875362295
104,17.016455798816512,3.3669216999108227,2.06572118897642,0.15547495016695023,21478880054.85512,14756958047.621067,3403453203.733426,2.7021349976943387,9.88602673224078,13997605.779962696,0.007461719012006253,0.15547495016695023,2394.057100634686,0.0017467454469064375
105,16.632416228548916,3.370880901546955,1.9057118017590366,0.06064164696831352,15128046936.078112,10237480422.56946,1998830973.3752048,1.273694727763063,3.051698384454554,13997605.77919559,0.002200530922246714,0.06064164696831352,2394.1579622321647,0.0010415582312451887
106,16.2437758570897,3.3743941687514165,1.7457024145416533,0.02331215242293521,10247144843.316477,7093528408.177562,1148757986.8810515,0.5639984756350884,0.9515769797452495,13997605.779004565,0.0006325107074710269,0.02331215242293521,2394.197050772361,0.0006079778871761203
107,15.950665700515815,3.3747582678775845,1.5856930273242698,0.00886185423107997,6802605839.797369,4891960026.711719,652276940.8030453,0.24085320123367643,0.30381607580344133,13997605.77895676,0.0001785249304164988,0.00886185423107997,2394.2120028611175,0.00037428958612573934
108,15.853216774904224,3.3692699652788356,1.4256836401068864,0.0033406046149847524,4615652174.871844,3368409091.0730953,380802938.1676648,0.10906062936905041,0.10453497106925834,13997605.778943622,5.0274098746460885e-05,0.0033406046149847524,2394.2176654988016,0.0002671433220293292
109,16.04011021878351,3.3561254534854634,1.3856812933025404,0.0012519073221043818,3375496550.010807,2336771893.172369,241756663.41189584,0.06004656238451067,0.04341902405598908,13997605.778939048,1.4625857341046816e-05,0.0012519073221043818,2394.2197944189925,0.0002424743462187891
110,16.5003708290575,3.341349263974968,1.3856812933025404,0.00046761527945876223,2824153162.6089716,1667217210.904147,176925818.6759047,0.04613381325519931,0.025663902516751404,13997605.778936565,4.866772326936202e-06,0.00046761527945876223,2394.2205909530257,0.00028378338763450654
111,17.171710988431716,3.3349966899806427,1.3856812933025404,0.0001748874313884258,2802320983.7539854,1280498464.671897,153678436.3005148,0.050917690223770296,0.023727839569113708,13997605.778934164,2.486374029905066e-06,0.0001748874313884258,2394.220888462222,0.0004099484814460448
112,17.99141901007286,3.347156336816411,1.3856812933025404,6.667854491271214e-05,3344989466.3336897,1150628823.3056326,162418263.66394055,0.07716299091994122,0.032862367074349245,13997605.778930126,2.8771981324320844e-06,6.667854491271214e-05,2394.2210003184987,0.0006982257266270346
