week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,M_total,S_h,E_h,I_h,R_h,R0
196,23.166118726039763,3.367890757595389,0.995059209851313,233.36889097493705,105.16516388908666,460202506314.1114,234325740876.91434,476921041924.22253,18515.548279006325,40172.6136222073,476921100612.38446,13996001.409693178,73.31245640405872,105.16516388908666,3820.1126865290653,0.6476365043377513
197,22.682134179971857,3.368809215905196,0.9953305726910895,182.85926107664983,97.88073281735008,407306007323.5513,209537952533.3123,417734712892.72394,14701.04503479028,36594.3724891716,417734764188.1415,13995916.836041607,63.10574733874139,97.88073281735008,3922.1774782369457,0.5164674366189134
198,22.1953099953105,3.368820766382578,0.9953339853341128,132.3496311783626,84.98791232352991,354417604051.30896,183849535244.68073,349713335676.2664,10767.090060987055,30769.084091405577,349713377212.4406,13995850.471511085,50.57434141016962,84.98791232352991,4013.9662351817137,0.3961456705311991
199,21.582134647590916,3.367191006072834,0.9948524649634167,81.8400012800754,68.69657163550809,299499618075.77905,157323823030.88107,279188713299.77637,7220.875036303201,23813.77603710591,279188744334.4275,13995803.092799751,37.2321951476651,68.6965716355081,4090.978433465739,0.27777363443473657
200,20.741923595705675,3.3635048805816106,0.9937633818004793,60.458480230840266,51.051933525685364,239202062566.09818,129095846689.28491,208028356435.21512,4273.373037305083,16622.73461598226,208028377331.32278,13995773.757333662,24.33182545208642,51.051933525685364,4150.858907359868,0.16627635549413441
201,19.732270887013907,3.359561646471424,0.9925983346833507,45.47093429481196,34.12540726862576,173097246189.5053,99158854040.7356,138357595384.7304,2084.994565308091,10012.853296135983,138357607482.57828,13995759.19332316,13.395124667128423,34.12540726862576,4193.286144904655,0.08319037356774818
202,18.67782733722521,3.358098681741996,0.9921660948535932,30.483388358783657,20.163352589619127,110833842055.04611,70620831890.35007,78609582218.88718,795.0989637485987,4953.792701862584,78609587967.77885,13995753.699067084,6.030214906206111,20.163352589619127,4220.107365420055,0.03564404720584682
203,17.70348521053177,3.361856742247411,0.9932764315557733,15.495842422755352,10.532453646495755,63039016843.31561,47128546579.756386,37426107446.597244,233.79117593384603,1945.046991844902,37426109625.43541,13995752.141766666,2.2396285650303986,10.532453646495755,4235.0861511229705,0.013897562772176717
204,16.93159957312409,3.3733222781493923,0.9966639782181518,7.852193995381063,4.950052759365779,32987002625.172752,30136691120.72598,15297047134.92286,54.90665943579375,602.6080462561579,15297047792.437565,13995751.797881588,0.7140102453494309,4.950052759365779,4242.538055406945,0.005467840640020335
205,16.42333562675172,3.3888486231434074,1.0012513100806182,7.852193995381063,2.1479484644715257,17078105195.232637,18890490889.43527,5842591148.942216,11.446566278746099,152.37941296652977,5842591312.768195,13995751.733035885,0.20587153299157962,2.1479484644715257,4245.91314411774,0.002415344571663027
206,16.177051401079844,3.398493890224097,1.0041010497339815,7.852193995381063,0.8818812915211094,9469729915.040545,11781608829.875317,2358540189.957284,2.539961217654193,33.55813353734111,2358540226.055379,13995751.721427785,0.05601903980126922,0.8818812915211094,4247.340671883445,0.0012981455755655383
207,16.188244197232663,3.3920294589298265,1.0021911030169428,7.852193995381063,0.3490084918794846,5915716707.347937,7374353881.24622,1108377313.0624523,0.7487699516123979,6.981797417661291,1108377320.7930198,13995751.7192699,0.014784104554439051,0.34900849187948463,4247.916937503915,0.0008967613609404118
208,16.452333710790743,3.3592597514674756,0.992509138380469,7.672983481697598,0.13483885920828023,4255587397.737184,4669277033.010145,626426220.1963011,0.3420622020934016,1.528517288943441,626426222.0668806,13995751.718811296,0.0038529807628553104,0.13483885920828023,4248.142496864102,0.0008064580614284766
209,16.935476284453518,3.3024488575316715,0.975724091803997,6.552917771175917,0.051286321916705284,3532118527.809323,3037563811.830936,421865384.85408556,0.24225348048444664,0.42148537625372967,421865385.5178244,13995751.71868461,0.0010088777030356428,0.051286321916705284,4248.229020190402,0.0009103112524227884
210,17.530718988475606,3.2549891257227457,0.9617018901850636,5.432852060654236,0.019315115517444983,3351611116.858994,2103342046.994069,333035638.21607304,0.24287212306891082,0.1947273800744535,333035638.6536725,13995751.718628643,0.0002763575300556903,0.019315115517444983,4248.261779883872,0.0011790095122018334
211,18.119879128431204,3.2550542820331523,0.9617211409242996,4.312786350132555,0.0072389953379685314,3549543054.2696767,1643566588.2420805,303108501.16676193,0.30326717744472,0.1694547833076879,303108501.6394839,13995751.718580322,9.381484242685033e-05,0.007238995337968532,4248.274086867479,0.0016053869895323628
